,5f1329d099e14e3e74a6bfc1,5f134db51b15b323bc6c18b5,5f1353c7e1f31a0e685dc17b,5f1353eee1f31a0e685dc17c,5f13542be1f31a0e685dc17d,5f13544ae1f31a0e685dc17e,5f135482e1f31a0e685dc17f,5f13a354587952078e294b23,5f164c956443183c2ceae540,5f1993f694b3f91cb24a8a34,5f1afee00745020017549dae,5f1f42b8da44cf0017003d67,5f1f457cda44cf0017003d70,5f1f464bda44cf0017003d77,5f1f49e5da44cf0017003d80,5f1f4a71da44cf0017003d87,5f1f4b15da44cf0017003d8e,5f1f4c57da44cf0017003d99,5f1f4d2eda44cf0017003da1,5f1f4dd6da44cf0017003da8,5f1f5a6adea9c02b64436d8b,5f1f5b09dea9c02b64436d94
5f14d5cc86d0bd2a08a3e60d,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
5f14d65586d0bd2a08a3e60e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f14d6c586d0bd2a08a3e60f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f14d77586d0bd2a08a3e610,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
5f14d81f86d0bd2a08a3e611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
5f14d8cb86d0bd2a08a3e612,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5f14d98686d0bd2a08a3e613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f14d9ff86d0bd2a08a3e614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f14da8886d0bd2a08a3e615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f14dae986d0bd2a08a3e616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f14dbb986d0bd2a08a3e617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f14dc4086d0bd2a08a3e618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f14dcd586d0bd2a08a3e619,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
5f14dd3b86d0bd2a08a3e61a,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5f14ddef86d0bd2a08a3e61b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f14ded886d0bd2a08a3e61c,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5f14dff286d0bd2a08a3e61d,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5f14e0f286d0bd2a08a3e61e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5f14e14286d0bd2a08a3e61f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f14e23386d0bd2a08a3e620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f14f1b5b417a82d10bca6a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2
5f14f21bb417a82d10bca6a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f14f7b7b417a82d10bca6aa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
5f14f818b417a82d10bca6ab,0,0,5,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,3,0
5f14f869b417a82d10bca6ac,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
5f14f90fb417a82d10bca6ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5f14f985b417a82d10bca6ae,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0
5f14fa40b417a82d10bca6af,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0
5f14fc7820c56b20acfd4671,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5f160c9db14e3208683856bd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f160d39b14e3208683856bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
5f160db1b14e3208683856c0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0
5f160df5b14e3208683856c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5f160e6cb14e3208683856c2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
5f160fc4b14e3208683856c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5f161003b14e3208683856c4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
5f161089b14e3208683856c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
